Date,Open,High,Low,Close,Adj Close,Volume
2016-12-08,102.139999,102.610001,102.000000,102.150002,88.185196,3993900
2016-12-09,102.230003,104.050003,102.040001,103.570000,89.411087,5040200
2016-12-12,103.820000,104.870003,103.669998,104.720001,90.403854,4858400
2016-12-13,104.809998,106.010002,104.680000,105.629997,91.189468,4508600
2016-12-14,105.879997,106.529999,104.209999,104.470001,90.188034,5007500
2016-12-15,104.230003,105.570000,104.230003,105.300003,90.904572,4179400
2016-12-16,105.550003,105.919998,105.129997,105.870003,91.396667,7499300
2016-12-19,105.459999,105.870003,105.129997,105.410004,90.999519,3683800
2016-12-20,104.889999,105.040001,104.370003,104.900002,90.559258,4903400
2016-12-21,104.820000,105.690002,104.690002,104.699997,90.386589,3245200
2016-12-22,104.550003,105.449997,104.250000,105.349998,90.947731,2605000
2016-12-23,104.970001,105.250000,104.629997,105.089996,90.723274,1769300
2016-12-27,105.089996,105.320000,104.989998,105.129997,90.757805,1505000
2016-12-28,104.870003,105.099998,104.519997,104.620003,90.317558,1878600
2016-12-29,104.500000,105.099998,104.480003,104.989998,90.636955,2438100
2016-12-30,104.709999,105.150002,104.330002,104.629997,90.326172,3484000
2017-01-03,104.940002,105.089996,104.209999,104.650002,90.343452,3741200
2017-01-04,105.110001,105.629997,104.790001,104.849998,90.516083,3029700
2017-01-05,104.519997,105.120003,104.190002,104.709999,90.395226,5087200
2017-01-06,104.980003,105.160004,104.120003,104.559998,90.265739,4109700
2017-01-09,104.160004,104.260002,103.250000,103.459999,89.316109,5603500
2017-01-10,103.320000,103.320000,101.750000,101.970001,88.029823,5399200
2017-01-11,101.839996,102.360001,101.410004,101.809998,87.891685,4650300
2017-01-12,101.709999,102.519997,101.580002,101.839996,87.917587,3126000
2017-01-13,101.879997,102.110001,101.220001,101.550003,87.667229,3478600
2017-01-17,101.070000,102.320000,101.059998,102.190002,88.219734,3745800
2017-01-18,102.400002,103.000000,102.320000,102.739998,88.694557,4340400
2017-01-19,102.279999,103.000000,102.169998,102.360001,88.366501,3923100
2017-01-20,102.790001,103.320000,102.440002,103.239998,89.126198,4750800
2017-01-23,102.900002,104.220001,102.830002,104.010002,89.790939,4584800
2017-01-24,104.000000,104.930000,103.779999,104.709999,90.395226,4992300
2017-01-25,104.709999,105.190002,104.540001,104.610001,90.308891,3566100
2017-01-26,104.510002,104.730003,104.070000,104.139999,89.903160,3634600
2017-01-27,104.379997,104.410004,103.430000,103.480003,89.333397,4248200
2017-01-30,103.010002,103.720001,103.000000,103.690002,89.514679,3462600
2017-01-31,103.209999,104.169998,103.209999,103.779999,89.592361,3846600
2017-02-01,103.610001,103.779999,102.980003,103.010002,88.927635,3515600
2017-02-02,103.760002,104.389999,103.290001,104.029999,89.808205,3213700
2017-02-03,104.440002,105.769997,104.059998,105.110001,90.740547,4287100
2017-02-06,105.099998,105.239998,104.529999,104.570000,90.274376,4355200
2017-02-07,104.629997,105.900002,104.629997,105.610001,91.172188,3980400
2017-02-08,105.500000,106.230003,105.250000,105.690002,91.241249,3407100
2017-02-09,105.690002,106.489998,105.019997,105.970001,91.482986,4012400
2017-02-10,105.830002,106.349998,105.589996,106.099998,91.595215,2475500
2017-02-13,106.500000,106.690002,105.879997,106.519997,91.957794,3463700
2017-02-14,106.169998,107.000000,105.669998,106.919998,92.303116,5665000
2017-02-15,105.349998,107.250000,104.769997,106.730003,92.139069,7617200
2017-02-16,107.150002,108.180000,106.320000,108.120003,93.339050,5559900
2017-02-17,107.290001,108.300003,107.209999,108.150002,93.364967,5498400
2017-02-21,108.070000,109.500000,107.949997,109.360001,94.409546,5370700
2017-02-22,109.370003,109.779999,109.169998,109.410004,94.452713,3815300
2017-02-23,109.120003,110.000000,109.120003,109.540001,94.564919,3382700
2017-02-24,109.500000,109.919998,109.330002,109.830002,94.815277,3991800
2017-02-27,109.690002,109.879997,109.230003,109.269997,94.331841,3475100
2017-02-28,109.050003,110.599998,109.050003,110.379997,95.290092,4684700
2017-03-01,109.599998,110.320000,109.169998,109.730003,95.379639,4750700
2017-03-02,109.809998,110.320000,109.430000,110.110001,95.709915,3880800
2017-03-03,110.099998,110.669998,109.650002,110.559998,96.101067,4111300
2017-03-06,109.800003,110.190002,109.430000,109.629997,95.292686,4491000
2017-03-07,109.160004,109.769997,109.000000,109.320000,95.023247,4361100
2017-03-08,109.169998,109.330002,108.470001,109.300003,95.005867,5244500
2017-03-09,109.599998,109.610001,108.910004,109.019997,94.762474,4066900
2017-03-10,109.580002,109.709999,109.279999,109.589996,95.257927,3488900
2017-03-13,109.320000,109.800003,109.029999,109.410004,95.101471,3131200
2017-03-14,109.279999,109.730003,109.120003,109.339996,95.040611,3630000
2017-03-15,109.559998,111.230003,109.500000,111.110001,96.579163,4973400
2017-03-16,111.089996,111.199997,110.529999,111.139999,96.605232,4580700
2017-03-17,111.480003,111.519997,110.930000,111.389999,96.822525,6444400
2017-03-20,111.150002,111.440002,110.809998,111.150002,96.613914,3382100
2017-03-21,111.540001,112.309998,111.470001,111.769997,97.152817,5587700
2017-03-22,112.309998,112.379997,111.570000,112.019997,97.370132,3882200
2017-03-23,111.949997,112.330002,111.669998,111.779999,97.161522,3208400
2017-03-24,111.980003,112.250000,111.790001,112.120003,97.457069,3913200
2017-03-27,111.870003,112.290001,111.570000,111.830002,97.204987,3514600
2017-03-28,111.809998,112.760002,111.639999,112.449997,97.743896,3945400
2017-03-29,112.059998,112.540001,111.970001,112.430000,97.726517,2683700
2017-03-30,112.290001,112.550003,112.000000,112.180000,97.509216,2104900
2017-03-31,112.309998,112.470001,111.830002,111.860001,97.231049,3744400
2017-04-03,111.949997,112.360001,111.459999,111.860001,97.231049,3587100
2017-04-04,111.989998,112.220001,111.629997,112.080002,97.422295,2360700
2017-04-05,112.040001,112.589996,111.690002,111.940002,97.300598,2992000
2017-04-06,112.120003,112.279999,111.419998,111.580002,96.987679,2740600
2017-04-07,111.699997,111.959999,111.440002,111.610001,97.013756,2799600
2017-04-10,111.699997,112.150002,111.410004,112.019997,97.370132,2873200
2017-04-11,111.709999,112.080002,111.349998,111.730003,97.118057,3031500
2017-04-12,112.050003,113.769997,111.900002,113.610001,98.752205,6260300
2017-04-13,113.250000,113.379997,112.650002,112.680000,97.943840,3257300
2017-04-17,112.739998,113.320000,112.680000,113.320000,98.500122,2917700
2017-04-18,113.440002,114.610001,113.400002,114.279999,99.334587,4574200
2017-04-19,114.419998,114.489998,113.480003,113.620003,98.760895,3044700
2017-04-20,113.519997,113.970001,113.389999,113.589996,98.734802,2973000
2017-04-21,113.550003,113.800003,113.269997,113.430000,98.595741,3885300
2017-04-24,114.360001,114.480003,113.910004,114.320000,99.369331,3221500
2017-04-25,114.209999,114.570000,114.000000,114.160004,99.230278,3643600
2017-04-26,111.750000,113.760002,111.339996,113.330002,98.508820,5343900
2017-04-27,113.099998,113.440002,112.510002,112.639999,97.909058,4096200
2017-04-28,112.339996,113.430000,112.190002,113.279999,98.465332,4872000
2017-05-01,112.930000,113.110001,112.269997,112.279999,97.596146,4074300
2017-05-02,112.750000,112.889999,112.070000,112.290001,97.604828,3082400
2017-05-03,112.389999,112.709999,111.699997,111.790001,97.170219,3342600
2017-05-04,112.169998,113.000000,111.809998,112.959999,98.187210,3488800
2017-05-05,113.040001,113.279999,112.739998,113.220001,98.413208,3046100
2017-05-08,113.199997,113.430000,112.779999,113.220001,98.413208,3097200
2017-05-09,113.239998,113.410004,112.550003,112.720001,97.978584,2708200
2017-05-10,112.699997,112.870003,112.480003,112.839996,98.082901,2160100
2017-05-11,112.639999,113.089996,112.529999,113.040001,98.256744,2277200
2017-05-12,112.930000,113.300003,112.720001,112.910004,98.143761,2383500
2017-05-15,112.900002,114.000000,112.769997,113.940002,99.039040,3500300
2017-05-16,114.059998,114.660004,113.589996,113.790001,98.908653,2444300
2017-05-17,113.790001,114.290001,113.320000,113.739998,98.865196,2999300
2017-05-18,113.779999,114.279999,113.290001,114.029999,99.117271,3439500
2017-05-19,114.169998,114.500000,113.459999,113.690002,98.821739,5750100
2017-05-22,113.690002,115.000000,113.690002,114.699997,99.699638,3324000
2017-05-23,114.709999,115.440002,114.709999,115.050003,100.003868,3261300
2017-05-24,115.309998,116.330002,115.120003,116.059998,100.881783,2816000
2017-05-25,116.360001,117.680000,116.150002,117.529999,102.159561,3596200
2017-05-26,117.250000,118.000000,117.199997,117.910004,102.489845,3104800
2017-05-30,117.739998,118.120003,117.500000,118.010002,102.576782,3231600
2017-05-31,116.910004,117.940002,116.870003,116.870003,102.283577,5232900
2017-06-01,116.800003,117.260002,116.059998,117.230003,102.598640,4404900
2017-06-02,117.459999,117.699997,117.040001,117.669998,102.983734,3162900
2017-06-05,117.389999,117.970001,117.050003,117.879997,103.167511,2968800
2017-06-06,117.779999,117.940002,117.459999,117.699997,103.009979,2643200
2017-06-07,117.169998,117.570000,116.820000,117.050003,102.441116,3681100
2017-06-08,117.050003,117.080002,115.589996,115.889999,101.425896,3956700
2017-06-09,115.660004,116.129997,115.360001,115.940002,101.469650,3197700
2017-06-12,115.940002,116.620003,115.940002,116.230003,101.723450,3492100
2017-06-13,115.470001,116.589996,115.470001,116.320000,101.802223,2760000
2017-06-14,116.910004,118.059998,116.830002,117.370003,102.721176,3597200
2017-06-15,117.000000,117.480003,116.510002,117.209999,102.581154,3372700
2017-06-16,117.370003,117.400002,116.300003,116.860001,102.274826,5156200
2017-06-19,117.019997,117.290001,116.230003,117.290001,102.651161,2436600
2017-06-20,117.290001,118.139999,117.180000,117.949997,103.228798,3703500
2017-06-21,117.779999,118.239998,117.239998,117.419998,102.764938,3767100
2017-06-22,117.330002,117.410004,116.050003,116.150002,101.653450,3288100
2017-06-23,116.209999,117.370003,116.089996,116.959999,102.362335,3453400
2017-06-26,117.419998,117.830002,117.059998,117.120003,102.502380,2704000
2017-06-27,117.239998,117.379997,115.940002,115.940002,101.469650,2884300
2017-06-28,116.519997,116.870003,116.199997,116.379997,101.854736,3110600
2017-06-29,116.070000,116.199997,114.889999,115.180000,100.804504,3474400
2017-06-30,115.529999,116.110001,115.300003,115.489998,101.075813,3313300
